TICKER,STATPERS,PRICE,EBS,FVYRGRO_EBS,FVYSTA_EBS,EPS,FVYRGRO_EPS,FVYSTA_EPS,DPS,FVYRGRO_DPS,FVYSTA_DPS,ROA,FVYRGRO_ROA,FVYSTA_ROA,ROE,FVYRGRO_ROE,FVYSTA_ROE,NAV,FVYRGRO_NAV,FVYSTA_NAV,GRM,FVYRGRO_GRM,FVYSTA_GRM
02VV,2020-06-18,0.52,,,,,,,,,,,,,,,,,,,,,
02VV,2020-07-16,0.57,,,,,,,,,,,,,,,,,,,,,
02VV,2020-08-20,0.43,,,,,,,,,,,,,,,,,,,,,
02VV,2020-09-17,0.5,,,,,,,,,,,,,,,,,,,,,
02VV,2020-10-15,0.44,,,,,,,,,,,,,,,,,,,,,
02VV,2020-11-19,0.4,,,,,,,,,,,,,,,,,,,,,
02VV,2020-12-17,0.5,,,,,,,,,,,,,,,,,,,,,
02VV,2021-01-14,0.65,,,,,,,,,,,,,,,,,,,,,
02VV,2021-02-18,0.77,,,,,,,,,,,,,,,,,,,,,
02VV,2021-03-18,0.67,,,,,,,,,,,,,,,,,,,,,
02VV,2021-04-15,0.57,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-05-20,0.54,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-06-17,0.53,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-07-15,0.47,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-08-19,0.37,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-09-16,0.43,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-10-14,0.4,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-11-18,0.41,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2021-12-16,0.32,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2022-01-20,0.29,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2022-02-17,0.31,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2022-03-17,0.24,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2022-04-14,0.25,,,,-0.16,,,,,,,,,,,,,,,,,
02VV,2022-05-19,0.23,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
