TICKER,STATPERS,PRICE,EBS,FVYRGRO_EBS,FVYSTA_EBS,EPS,FVYRGRO_EPS,FVYSTA_EPS,DPS,FVYRGRO_DPS,FVYSTA_DPS,ROA,FVYRGRO_ROA,FVYSTA_ROA,ROE,FVYRGRO_ROE,FVYSTA_ROE,NAV,FVYRGRO_NAV,FVYSTA_NAV,GRM,FVYRGRO_GRM,FVYSTA_GRM
02VV,2022-06-16,0.21,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2022-07-14,0.18,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2022-08-18,0.25,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2022-09-15,0.22,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2022-10-20,0.14,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2022-11-17,0.18,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2022-12-15,0.19,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2023-01-19,0.19,,,,-0.01,,,0.0,,,,,,,,,,,,17.24,,
02VV,2023-12-14,0.29,,,,,,,,,,,,,,,,27.742,,,8.682,,
02VV,2024-01-18,0.29,,,,,,,,,,,,,,,,27.742,,,8.682,,
02VV,2024-02-15,0.35,,,,,,,,,,,,,,,,27.742,,,8.682,,
02VV,2024-03-14,0.31,,,,,,,,,,,,,,,,27.742,,,8.682,,
02VV,2024-04-18,0.37,,,,0.009,,,,,,3.11,,,4.37,,,28.723,,,22.28,,
02VV,2024-05-16,0.35,,,,0.009,,,,,,3.11,,,4.37,,,28.723,,,22.28,,
02VV,2024-06-20,0.47,,,,0.009,,,,,,3.11,,,4.37,,,28.723,,,22.28,,
03RS,2021-10-14,0.95,,,,,,,,,,,,,,,,,,,,,
03RS,2021-11-18,0.8,,,,,,,,,,,,,,,,,,,,,
03RS,2021-12-16,0.75,,,,,,,,,,,,,,,,,,,,,
03RS,2022-01-20,0.8,,,,,,,,,,,,,,,,,,,,,
03RS,2022-02-17,0.65,,,,,,,,,,,,,,,,,,,,,
03RS,2022-03-17,0.5,,,,,,,,,,,,,,,,,,,,,
03RS,2022-04-14,0.55,,,,,,,,,,,,,,,,,,,,,
03RS,2022-05-19,0.35,,,,,,,,,,,,,,,,,,,,,
03RS,2022-06-16,0.25,,,,-0.4,,,,,,,,,,,,,,,,,
03RS,2022-07-14,0.25,,,,-0.4,,,,,,,,,,,,,,,,,
@00CE,2014-11-20,19.9,,,,,,,,,,,,,,,,,,,,,
@00CE,2014-12-18,21.9,,,,,,,,,,,,,,,,,,,,,
@00CE,2015-01-15,20.0,,,,,,,,,,,,,,,,,,,,,
@00CE,2015-02-19,20.1,,,,,,,,,,,,,,,,,,,,,
@00CE,2015-03-19,19.6,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-04-16,20.2,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-05-14,19.6,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-06-18,22.3,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-07-16,22.8,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-08-20,19.8,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-09-17,20.0,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-10-15,20.3,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-11-19,21.2,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2015-12-17,22.7,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2016-01-14,25.0,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2016-02-18,23.2,,,,0.208,,,0.2,,,0.882,,,2.151,,,25431.978,,,16.5,,
@00CE,2016-03-17,25.0,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-04-14,26.25,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-05-19,23.3,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-06-16,23.8,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-07-14,22.5,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-08-18,23.5,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-09-15,23.0,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-10-20,23.4,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-11-17,24.5,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2016-12-15,22.8,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2017-01-19,22.3,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2017-02-16,21.4,1.922,,,0.86,,,0.7,,,3.403,,,6.387,,,31095.6625,,,29.396,,
@00CE,2017-03-16,19.5,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-04-20,20.0,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-05-18,19.6,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-06-15,18.9,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-07-20,18.7,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-08-17,18.2,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-09-14,18.5,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-10-19,18.7,2.339,100.96,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-11-16,17.7,,,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2017-12-14,17.1,,,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2018-01-18,15.8,,,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2018-02-15,15.3,,,,0.84,100.96,,0.75,100.96,,3.015,100.96,,5.626,100.96,,31988.5498,100.96,,22.716,100.96,
@00CE,2018-03-15,15.0,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-04-19,15.2,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-05-17,14.8,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-06-14,14.8,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-07-19,12.2,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-08-16,11.8,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-09-20,13.0,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-10-18,12.5,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-11-15,11.8,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2018-12-20,11.8,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2019-01-17,12.3,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2019-02-14,12.2,,,,0.38,19.53,,0.3,19.53,,1.333,19.53,,2.617,19.53,,28385.59,19.53,,11.3887,19.53,
@00CE,2019-03-14,11.9,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-04-18,11.9,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-05-16,11.2,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-06-20,11.3,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-07-18,11.2,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-08-15,9.5,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-09-19,9.1,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-10-17,8.35,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-11-14,7.55,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2019-12-19,6.8,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2020-01-16,6.45,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,30778.147,-17.44,,11.1958,-17.44,
@00CE,2020-02-20,5.65,,,,0.12,-17.44,,,-17.44,,0.415,-17.44,,0.845,-17.44,,,,,11.1958,-17.44,
@00CE,2020-03-19,3.98,,,,0.17,-17.44,,,-17.44,,0.566,-17.44,,1.157,-17.44,,,,,-337.7825,-17.44,
@00CE,2020-04-16,4.82,,,,0.17,-17.44,,,,,0.566,-17.44,,1.157,-17.44,,,,,-337.7825,-17.44,
@00CE,2020-05-14,5.6,,,,0.17,-17.44,,,,,,,,,,,,,,,,
@00CE,2020-07-16,6.1,,,,0.17,-17.44,,,,,,,,,,,,,,,,
@00CE,2020-08-20,5.6,,,,0.17,-17.44,,,,,,,,,,,,,,,,
@00CE,2020-09-17,5.4,,,,0.17,-17.44,,,,,,,,1.157,-17.44,,,,,,,
@00CE,2020-10-15,5.35,,,,0.17,-17.44,,,,,,,,1.157,-17.44,,,,,,,
@00CE,2020-11-19,5.45,,,,0.17,-17.44,,,,,,,,1.157,-17.44,,,,,,,
@00CE,2020-12-17,7.4,,,,0.17,-17.44,,,,,,,,1.157,-17.44,,,,,,,
@00CE,2021-01-14,7.0,,,,0.17,-17.44,,,,,,,,1.157,-17.44,,,,,,,
@00CE,2021-02-18,7.15,,,,0.17,-17.44,,,,,,,,1.157,-17.44,,,,,,,
@00CE,2021-03-18,8.35,,,,-2.56,-17.44,,,-17.44,,,,,,,,,,,,,
@00CE,2021-04-15,7.6,,,,-2.56,-17.44,,,-17.44,,,,,,,,,,,,,
@00CE,2021-05-20,7.2,,,,-2.56,-17.44,,,-17.44,,,,,,,,,,,,,
@00CE,2021-06-17,9.8,,,,-2.56,-17.44,,,-17.44,,,,,,,,,,,,,
@00CE,2021-07-15,11.8,,,,-2.56,-17.44,,,-17.44,,,,,,,,,-17.44,,-41.628,-17.44,
@00CE,2021-08-19,9.5,,,,-2.56,-17.44,,,-17.44,,,,,,-17.44,,,-17.44,,-41.628,-17.44,
@00CE,2021-09-16,12.8,,,,-2.56,-17.44,,,-17.44,,,-17.44,,,-17.44,,,-17.44,,-41.628,-17.44,
@00CE,2021-10-14,12.0,,,,-2.56,-17.44,,,-17.44,,,-17.44,,,-17.44,,,-17.44,,-41.628,-17.44,
@00CE,2021-11-18,11.4,,,,-2.56,-17.44,,,-17.44,,,-17.44,,,-17.44,,,-17.44,,-41.628,-17.44,
@00CE,2021-12-16,10.0,,,,-2.56,-17.44,,,-17.44,,,-17.44,,,-17.44,,,-17.44,,-41.628,-17.44,
@00CE,2022-01-20,9.5,,,,-2.56,-17.44,,,-17.44,,,-17.44,,,-17.44,,,-17.44,,-41.628,-17.44,
@00CE,2022-02-17,10.4,,,,-2.56,-17.44,,,-17.44,,,-17.44,,,-17.44,,,-17.44,,-41.628,-17.44,
@00CE,2022-03-17,9.25,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-04-14,11.1,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-05-19,10.9,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-06-16,10.3,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-07-14,9.55,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-08-18,10.4,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-09-15,11.0,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-10-20,12.4,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-11-17,13.5,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2022-12-15,13.1,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2023-01-19,13.4,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2023-02-16,14.4,,,,-1.512,-17.44,,0.0,-17.44,,-6.259,-17.44,,-19.0,-17.44,,13161.935,-17.44,,-125.0856,-17.44,
@00CE,2023-03-16,12.0,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-04-20,12.9,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-05-18,14.2,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-06-15,16.0,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-07-20,14.4,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-08-17,16.1,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-09-14,16.7,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-10-19,15.1,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-11-16,15.4,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2023-12-14,14.3,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2024-01-18,15.1,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2024-02-15,16.0,,,,-1.01,-17.44,,0.0,-17.44,,-3.78,-17.44,,-13.99,-17.44,,16763.5438,-17.44,,-1.9357,-17.44,
@00CE,2024-03-14,15.7,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-04-18,17.1,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-05-16,18.1,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-06-20,21.4,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-07-18,20.7,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-08-15,19.9,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-09-19,22.9,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-10-17,23.6,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-11-14,23.6,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2024-12-19,22.5,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2025-01-16,19.5,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2025-02-20,21.4,,,,1.48,-17.44,,0.0,-17.44,,5.179,-17.44,,18.399,-17.44,,16907.6254,-17.44,,20.6218,-17.44,
@00CE,2025-03-20,19.4,,,,1.8,-17.44,,0.7,-17.44,,6.66,-17.44,,24.579,-17.44,,15856.4554,-17.44,,27.8559,-17.44,
@00CE,2025-04-17,15.5,,,,1.8,-17.44,,0.7,-17.44,,6.66,-17.44,,24.579,-17.44,,15856.4554,-17.44,,27.8559,-17.44,
@00GM,2015-02-19,0.56,,,,,,,,,,,,,,,,,,,,,
@00GM,2015-03-19,0.75,,,,,,,,,,,,,,,,,,,,,
@00GM,2015-04-16,0.86,,,,,,,,,,,,,,,,,,,,,
@00GM,2015-05-14,0.87,,,,,,,,,,,,,,,,,,,,,
@00GM,2015-06-18,0.98,,,,,,,,,,,,,,,,,,,,,
@00GM,2015-07-16,1.23,,,,,,,,,,,,,,,,,,,,,
@00GM,2015-08-20,1.58,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2015-09-17,1.45,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2015-10-15,1.38,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2015-11-19,1.36,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2015-12-17,1.82,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-01-14,1.94,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-02-18,2.29,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-03-17,2.19,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-04-14,2.2,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-05-19,2.7,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-06-16,2.89,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-07-14,3.73,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-08-18,4.13,,,,-0.0236,,,0.0,,,-14.624,,,-32.097,,,11.913,,,,,
@00GM,2016-09-15,3.35,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2016-10-20,3.52,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2016-11-17,3.5,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2016-12-15,2.7,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-01-19,2.54,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-02-16,2.39,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-03-16,2.15,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-04-20,2.06,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-05-18,2.0,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-06-15,1.92,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-07-20,2.11,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-08-17,1.81,-0.04,,,-0.03,,,0.0,,,-13.744,,,-29.942,,,11.94,,,,,
@00GM,2017-09-14,1.33,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2017-10-19,1.65,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2017-11-16,1.6,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2017-12-14,1.38,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-01-18,1.61,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-02-15,1.78,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-03-15,1.27,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-04-19,1.21,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-05-17,1.28,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-06-14,1.25,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-07-19,1.15,0.018,,,-0.044,,,0.0,,,-7.293,,,-11.02,,,114.762,,,76.599,,
@00GM,2018-08-16,1.05,0.005,,,-0.083,,,0.0,,,-8.36,,,-11.96,,,127.071,,,75.82,,
@00GM,2018-09-20,1.08,0.005,,,-0.083,,,0.0,,,-8.36,,,-11.96,,,127.071,,,75.82,,
@00GM,2018-10-18,1.02,0.005,,,-0.083,,,0.0,,,-8.36,,,-11.96,,,127.071,,,75.82,,
@00GM,2018-11-15,1.0,0.005,,,-0.083,,,0.0,,,-8.36,,,-11.96,,,127.071,,,75.82,,
@00GM,2018-12-20,0.89,0.005,,,-0.083,,,0.0,,,-8.36,,,-11.96,,,127.071,,,75.82,,
@00GM,2019-01-17,0.8,0.005,,,-0.083,,,0.0,,,-8.36,,,-11.96,,,127.071,,,75.82,,
@00GM,2019-02-14,0.65,,,,-0.083,,,0.0,,,-8.36,,,-11.96,,,127.071,,,75.82,,
